"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
54,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e17","Holiday",,"NULL","NULL","NULL","NULL"
55,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e18","Serpent's Song",,"NULL","NULL","NULL","NULL"
56,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e19","One False Step",,"NULL","NULL","NULL","NULL"
57,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e20","Show and Tell",,"NULL","NULL","NULL","NULL"
58,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e21","1969",,"NULL","NULL","NULL","NULL"
59,"SCI_FI","Show","True",1999,"Stargate SG-1","s02e22","Out of Mind (1)",,"NULL","NULL","NULL","NULL"
60,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e01","Into the Fire (2)",,"NULL","NULL","NULL","NULL"
61,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e02","Seth",,"NULL","NULL","NULL","NULL"
62,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e03","Fair Game",,"NULL","NULL","NULL","NULL"
63,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e04","Legacy",,"NULL","NULL","NULL","NULL"
64,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e05","Learning Curve",,"NULL","NULL","NULL","NULL"
65,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e06","Point of View",,"NULL","NULL","NULL","NULL"
66,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e07","Deadman Switch",,"NULL","NULL","NULL","NULL"
67,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e08","Demons",,"NULL","NULL","NULL","NULL"
68,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e09","Rules of Engagement",,"NULL","NULL","NULL","NULL"
69,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e10","Forever in a Day",,"NULL","NULL","NULL","NULL"
70,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e11","Past and Present",,"NULL","NULL","NULL","NULL"
71,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e12","Jolinar's Memories (1)",,"NULL","NULL","NULL","NULL"
72,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e13","The Devil You Know (2)",,"NULL","NULL","NULL","NULL"
73,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e14","Foothold",,"NULL","NULL","NULL","NULL"
74,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e15","Pretense",,"NULL","NULL","NULL","NULL"
75,"SCI_FI","Show","True",1999,"Stargate SG-1","s03e16","Urgo",,"NULL","NULL","NULL","NULL"
76,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e17","A Hundred Days",,"NULL","NULL","NULL","NULL"
77,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e18","Shades of Grey",,"NULL","NULL","NULL","NULL"
78,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e19","New Ground",,"NULL","NULL","NULL","NULL"
79,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e20","Maternal Instinct",,"NULL","NULL","NULL","NULL"
80,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e21","Crystal Skull",,"NULL","NULL","NULL","NULL"
81,"SCI_FI","Show","True",2000,"Stargate SG-1","s03e22","Nemesis (1)",,"NULL","NULL","NULL","NULL"
82,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e01","Small Victories (2)",,"NULL","NULL","NULL","NULL"
83,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e02","The Other Side",,"NULL","NULL","NULL","NULL"
84,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e03","Upgrades",,"NULL","NULL","NULL","NULL"
85,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e04","Crossroads",,"NULL","NULL","NULL","NULL"
86,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e05","Divide and Conquer",,"NULL","NULL","NULL","NULL"
87,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e06","Window of Opportunity",,"NULL","NULL","NULL","NULL"
88,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e07","Watergate",,"NULL","NULL","NULL","NULL"
89,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e08","The First Ones",,"NULL","NULL","NULL","NULL"
90,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e09","Scorched Earth",,"NULL","NULL","NULL","NULL"
91,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e10","Beneath the Surface",,"NULL","NULL","NULL","NULL"
92,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e11","Point of No Return",,"NULL","NULL","NULL","NULL"
93,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e12","Tangent",,"NULL","NULL","NULL","NULL"
94,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e13","The Curse",,"NULL","NULL","NULL","NULL"
95,"SCI_FI","Show","True",2000,"Stargate SG-1","s04e14","The Serpent's Venom",,"NULL","NULL","NULL","NULL"
96,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e15","Chain Reaction",,"NULL","NULL","NULL","NULL"
97,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e16","2010",,"NULL","NULL","NULL","NULL"
98,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e17","Absolute Power",,"NULL","NULL","NULL","NULL"
99,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e18","The Light",,"NULL","NULL","NULL","NULL"
100,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e19","Prodigy",,"NULL","NULL","NULL","NULL"
